Matnr,Spras,Maktx
000000000010000883,EN,Pressure Transmitter Assembly 8/6 SKF
000000000010000884,EN,Flotation Cell Impeller 55KW MULTOTEC
000000000010000885,EN,Skirt Rubber Liner Section 8/6 FLSM
000000000030000214,EN,Slurry Pump Mechanical Seal 8/6 SANDVIK
000000000010000886,EN,Ball Mill Shell Liner Plate DN150 SKF
000000000010000887,EN,Centrifugal Pump Casing 200MM SIEMENS
000000000030000215,EN,Flotation Blower Motor DN100 SEW
000000000010000888,EN,Flow Meter Sensor Head 8/6 SIEMENS
000000000010000889,EN,Flotation Blower Motor 8/6 SEW
000000000030000216,EN,Gland Packing Seal Ring 110KW SANDVIK
000000000010000890,EN,Mill Liner HD FLSM
000000000010000891,EN,Flotation Cell Impeller TYPE B SKF
000000000030000217,EN,Hydraulic Pump Assembly 200MM ABB
000000000090000045,EN,Belt Scraper Blade Cartridge HD ABB
000000000010000892,EN,Thickener Rake Drive Gearbox 250KW
000000000010000893,EN,Pump Impeller 250MM SIEMENS
000000000010000894,EN,Thickener Rake Seal Kit 8/6 ABB
000000000010000895,EN,Mill Lube Pump Motor 150MM SANDVIK
000000000030000218,EN,Thickener Rake Seal Kit 6/4 ABB
000000000030000219,EN,Agitator Shaft Seal 10/8 FLSM
000000000010000896,EN,Mill Liner 55KW FLSM
000000000030000220,EN,Ball Mill Trunnion Bearing 150MM FLSM
000000000010000897,EN,Ventilation Fan Motor HD FLSM
000000000010000898,EN,Crusher Hydroset Cylinder DN100 ABB
000000000010000899,EN,Cyclone Apex Liner TYPE A SEW
000000000010000900,EN,Mill Liner 150MM SEW
000000000010000901,EN,Hydraulic Pump Assembly DN150 FLSM
000000000080000201,EN,Slurry Density Transmitter 110KW
000000000080000202,EN,Conveyor Drive Motor 250MM ABB
000000000080000203,EN,Crusher Hydroset Cylinder 6/4 KSB
000000000010000902,EN,Cyclone Apex Liner 250MM SANDVIK
000000000010000903,EN,Variable Speed Drive Unit DN150 MULTOTEC
000000000010000904,EN,Centrifugal Pump Casing 10/8 KSB
000000000010000905,EN,Slurry Pump Mechanical Seal 6/4 METSO
000000000080000204,EN,Ball Mill Trunnion Bearing HD MULTOTEC
000000000010000906,EN,Pump Impeller 250MM SEW
000000000090000046,EN,Conveyor Drive Motor TYPE A SIEMENS
000000000030000221,EN,Soft Starter Power Module 250KW METSO
000000000010000907,EN,Level Radar Transmitter HD MULTOTEC
000000000010000908,EN,Ventilation Fan Motor 6/4 FLSM
000000000010000909,EN,Level Radar Transmitter 6/4 SEW
000000000010000910,EN,Apron Feeder Gear Reducer 150MM SEW
000000000030000222,EN,Screen Exciter Bearing 110KW SEW
000000000080000205,EN,Conveyor Pulley Bearing DN150 KSB
000000000010000911,EN,Hydraulic Pump Assembly TYPE A KSB
000000000010000912,EN,Conveyor Pulley Bearing 200MM SKF
000000000010000913,EN,MCC Feeder Circuit Breaker DN100 SKF
000000000030000223,EN,Pressure Transmitter Assembly 6/4 SKF
000000000010000914,EN,Conveyor Pulley Bearing DN150 METSO
000000000090000047,EN,Ball Mill Shell Liner Plate 150MM
000000000030000224,EN,Level Radar Transmitter 55KW KSB
000000000080000206,EN,Slurry Pump Mechanical Seal 150MM ABB
000000000010000915,EN,Gland Packing Seal Ring TYPE B MULTOTEC
000000000010000916,EN,Vertical Sump Pump Column HD METSO
000000000080000207,EN,Flotation Blower Motor 8/6 SEW
000000000080000208,EN,Mill Liner DN100 FLSM
000000000010000917,EN,Vertical Sump Pump Column HD SKF
000000000030000225,EN,Ball Mill Trunnion Bearing 110KW SANDVIK
000000000010000918,EN,Vertical Sump Pump Column 250KW METSO
000000000030000226,EN,Soft Starter Power Module HD MULTOTEC
000000000080000209,EN,Conveyor Drive Gearbox TYPE B MULTOTEC
000000000010000919,EN,Gland Packing Seal Ring TYPE B SANDVIK
000000000010000920,EN,Centrifugal Pump Casing DN100 SKF
000000000080000210,EN,Ventilation Fan Motor TYPE A SKF
000000000010000921,EN,Valve Assembly 150MM MULTOTEC
000000000080000211,EN,Cyclone Apex Liner DN100 SKF
000000000010000922,EN,Conveyor Pulley Bearing TYPE A SIEMENS
000000000030000227,EN,PLC Digital Output Card 10/8 FLSM
000000000080000212,EN,Conveyor Drive Motor TYPE B WEIR
000000000010000923,EN,Apron Feeder Gear Reducer 55KW FLSM
000000000010000924,EN,Crusher Main Shaft Bearing 110KW KSB
000000000080000213,EN,Pump Impeller DN150 SANDVIK
000000000030000228,EN,Ball Mill Trunnion Bearing 110KW FLSM
000000000010000925,EN,Flotation Blower Motor 200MM ABB
000000000010000926,EN,Crusher Hydroset Cylinder HD WEIR
000000000030000229,EN,Ball Mill Gearbox Assembly DN100 SKF
000000000010000927,EN,Hydraulic Pump Assembly 10/8 METSO
000000000010000928,EN,Ball Mill Shell Liner Plate 6/4 METSO
000000000030000230,EN,Vertical Sump Pump Column 55KW SEW
000000000010000929,EN,Soft Starter Power Module DN150 WEIR
000000000090000048,EN,Skirt Rubber Liner Section DN100 ABB
000000000030000231,EN,Crusher Hydroset Cylinder 150MM SIEMENS
000000000030000232,EN,Thickener Rake Seal Kit 10/8 FLSM
000000000030000233,EN,Skirt Rubber Liner Section 200MM WEIR
000000000010000930,EN,Flow Meter Sensor Head 10/8 FLSM
000000000080000214,EN,Cyclone Apex Liner 10/8 SEW
000000000010000931,EN,Slurry Density Transmitter TYPE A KSB
000000000010000932,EN,Conveyor Idler Roller Set 150MM SANDVIK
000000000010000933,EN,Crusher Main Shaft Bearing 250MM SEW
000000000080000215,EN,Conveyor Drive Gearbox 55KW SKF
000000000080000216,EN,Conveyor Drive Motor 250MM SKF
000000000010000934,EN,Slurry Pump Mechanical Seal 200MM FLSM
000000000010000935,EN,Valve Assembly 150MM MULTOTEC
000000000080000217,EN,Hydraulic Pump Assembly 250KW FLSM
000000000080000218,EN,Crusher Hydroset Cylinder 250MM SIEMENS
000000000080000219,EN,Crusher Hydroset Cylinder 55KW SIEMENS
000000000010000936,EN,Conveyor Take-Up Pulley 110KW KSB
000000000030000234,EN,Slurry Density Transmitter 10/8 MULTOTEC
000000000010000937,EN,Variable Speed Drive Unit 6/4 SIEMENS
000000000030000235,EN,Hydraulic Power Pack 250MM SIEMENS
000000000080000220,EN,Mill Lube Pump Motor 10/8 SKF
000000000010000938,EN,Conveyor Drive Motor 250MM FLSM
000000000010000939,EN,Ball Mill Shell Liner Plate 150MM
000000000030000236,EN,Flow Meter Sensor Head HD SKF
000000000010000940,EN,Soft Starter Power Module 55KW KSB
000000000010000941,EN,Thickener Rake Drive Gearbox 150MM
000000000010000942,EN,Ball Mill Trunnion Bearing TYPE B SEW
000000000080000221,EN,Thickener Rake Seal Kit 150MM MULTOTEC
000000000010000943,EN,Belt Scraper Blade Cartridge 250MM METSO
000000000090000049,EN,Centrifugal Pump Casing HD SANDVIK
000000000010000944,EN,PLC Digital Output Card 10/8 METSO
000000000010000945,EN,Ball Mill Shell Liner Plate 200MM ABB
000000000010000946,EN,Vertical Sump Pump Column 10/8 SKF
000000000080000222,EN,MCC Feeder Circuit Breaker HD KSB
000000000080000223,EN,Skirt Rubber Liner Section 10/8 SANDVIK
000000000030000237,EN,Soft Starter Power Module 55KW SANDVIK
000000000010000947,EN,Agitator Shaft Seal 250MM SEW
000000000010000948,EN,Belt Scraper Blade Cartridge DN150 FLSM
000000000080000224,EN,Mill Liner 6/4 FLSM
000000000010000949,EN,Hydraulic Power Pack TYPE A METSO
000000000030000238,EN,Mill Lube Pump Motor 8/6 METSO
000000000030000239,EN,Slurry Pump Wet End Assembly 8/6
000000000030000240,EN,Spherical Roller Bearing HD KSB
000000000080000225,EN,Ball Mill Gearbox Assembly 250MM ABB
000000000030000241,EN,Thickener Rake Drive Gearbox 150MM FLSM
000000000080000226,EN,Ventilation Fan Motor 110KW WEIR
000000000030000242,EN,Skirt Rubber Liner Section HD FLSM
000000000030000243,EN,Conveyor Drive Motor TYPE B WEIR
000000000080000227,EN,Flow Meter Sensor Head HD KSB
000000000080000228,EN,Hydraulic Power Pack 55KW KSB
000000000010000950,EN,Soft Starter Power Module 200MM SKF
000000000030000244,EN,Hydraulic Pump Assembly 6/4 METSO
000000000010000951,EN,Ball Mill Shell Liner Plate 250MM FLSM
000000000030000245,EN,Apron Feeder Gear Reducer 250MM METSO
000000000090000050,EN,Flotation Blower Motor TYPE A MULTOTEC
000000000010000952,EN,Ventilation Fan Motor 8/6 METSO
000000000010000953,EN,Ball Mill Trunnion Bearing DN150 SIEMENS
000000000010000954,EN,Variable Speed Drive Unit 250MM ABB
000000000030000246,EN,Conveyor Idler Roller Set 150MM SANDVIK
000000000010000955,EN,Conveyor Idler Roller Set 55KW SANDVIK
000000000010000956,EN,Conveyor Take-Up Pulley TYPE B SIEMENS
000000000080000229,EN,Ball Mill Gearbox Assembly DN150 SKF
000000000080000230,EN,Flow Meter Sensor Head TYPE B SIEMENS
000000000010000957,EN,Gland Packing Seal Ring DN150 SANDVIK
000000000010000958,EN,Gearbox Bearing DN100 SANDVIK
000000000010000959,EN,Flotation Cell Impeller 55KW WEIR
000000000010000960,EN,Screen Exciter Bearing 250MM ABB
000000000080000231,EN,Slurry Pump Wet End Assembly 10/8
000000000030000247,EN,Variable Speed Drive Unit 10/8 WEIR
000000000080000232,EN,Thickener Rake Seal Kit 8/6 SEW
000000000010000961,EN,Crusher Hydroset Cylinder TYPE B SIEMENS
000000000030000248,EN,PLC Digital Output Card 6/4 SIEMENS
000000000010000962,EN,Centrifugal Pump Casing 110KW SIEMENS
000000000010000963,EN,Hydraulic Power Pack 250MM SIEMENS
000000000010000964,EN,Thickener Rake Drive Gearbox 250MM SKF
000000000080000233,EN,Agitator Shaft Seal 110KW ABB
000000000010000965,EN,Conveyor Take-Up Pulley 250KW ABB
000000000010000966,EN,Thickener Rake Seal Kit DN150 MULTOTEC
000000000090000051,EN,Flotation Cell Impeller 150MM MULTOTEC
000000000010000967,EN,Variable Speed Drive Unit DN100 SANDVIK
000000000030000249,EN,Mill Liner DN150 SKF
000000000010000968,EN,Flotation Cell Impeller 250KW METSO
000000000010000969,EN,Variable Speed Drive Unit 200MM SIEMENS
000000000010000970,EN,Ventilation Fan Motor DN100 SKF
000000000010000971,EN,Conveyor Take-Up Pulley 150MM SEW
000000000010000972,EN,Conveyor Take-Up Pulley 110KW KSB
000000000010000973,EN,Pressure Transmitter Assembly 200MM WEIR
000000000010000974,EN,Cyclone Apex Liner TYPE B KSB
000000000010000975,EN,Skirt Rubber Liner Section 10/8 MULTOTEC
000000000010000976,EN,Agitator Shaft Seal 6/4 FLSM
000000000080000234,EN,Flotation Cell Impeller 110KW KSB
000000000010000977,EN,Thickener Rake Seal Kit TYPE A SEW
000000000080000235,EN,Slurry Density Transmitter TYPE B WEIR
000000000080000236,EN,Ball Mill Trunnion Bearing TYPE A WEIR
000000000010000978,EN,Centrifugal Pump Casing 6/4 KSB
000000000010000979,EN,Hydraulic Pump Assembly 10/8 MULTOTEC
000000000010000980,EN,Centrifugal Pump Casing 10/8 METSO
000000000010000981,EN,Crusher Hydroset Cylinder 6/4 SIEMENS
000000000010000982,EN,PLC Digital Output Card 8/6 SANDVIK
000000000010000983,EN,Spherical Roller Bearing 150MM METSO
000000000030000250,EN,Cyclone Apex Liner 6/4 FLSM
000000000080000237,EN,Conveyor Drive Gearbox 110KW SIEMENS
000000000010000984,EN,Slurry Pump Mechanical Seal 6/4
000000000010000985,EN,Skirt Rubber Liner Section DN100 SANDVIK
000000000080000238,EN,Slurry Pump Mechanical Seal DN150
000000000010000986,EN,Conveyor Take-Up Pulley TYPE A SEW
000000000010000987,EN,PLC Digital Output Card 250MM SEW
000000000010000988,EN,Vertical Sump Pump Column DN100 KSB
000000000030000251,EN,MCC Feeder Circuit Breaker 8/6
000000000010000989,EN,Conveyor Drive Motor TYPE B METSO
000000000010000990,EN,Slurry Pump Mechanical Seal TYPE A SKF
000000000090000052,EN,PLC Digital Output Card TYPE B SIEMENS
000000000080000239,EN,PLC Digital Output Card 10/8 SANDVIK
000000000080000240,EN,Variable Speed Drive Unit 6/4 METSO
000000000010000991,EN,Flotation Blower Motor HD SIEMENS
000000000010000992,EN,Ventilation Fan Motor 8/6 KSB
000000000010000993,EN,Conveyor Take-Up Pulley 8/6 FLSM
000000000010000994,EN,Slurry Density Transmitter 10/8 SKF
000000000010000995,EN,Cyclone Apex Liner 150MM SKF
000000000010000996,EN,Cyclone Apex Liner 200MM ABB
000000000010000997,EN,Belt Scraper Blade Cartridge DN100
000000000010000998,EN,Cyclone Apex Liner TYPE B SIEMENS
000000000010000999,EN,Conveyor Drive Gearbox 55KW ABB
000000000010001000,EN,Crusher Main Shaft Bearing 250KW METSO
000000000010001001,EN,Centrifugal Pump Casing TYPE B SEW
000000000030000252,EN,Conveyor Take-Up Pulley 250MM FLSM
000000000030000253,EN,Slurry Density Transmitter 150MM WEIR
000000000010001002,EN,Valve Assembly 10/8 SKF
000000000030000254,EN,Centrifugal Pump Casing 200MM MULTOTEC
000000000010001003,EN,Gland Packing Seal Ring DN100 SEW
000000000010001004,EN,Conveyor Drive Motor DN150 FLSM
000000000010001005,EN,Ventilation Fan Motor TYPE A SEW
000000000080000241,EN,Conveyor Idler Roller Set HD ABB
000000000010001006,EN,Belt Scraper Blade Cartridge 55KW ABB
000000000010001007,EN,Cyclone Apex Liner DN100 SEW
000000000080000242,EN,Mill Lube Pump Motor TYPE A METSO
000000000030000255,EN,Hydraulic Power Pack 10/8 SKF
000000000010001008,EN,Flotation Blower Motor 150MM KSB
000000000030000256,EN,Conveyor Drive Gearbox TYPE A SKF
000000000080000243,EN,Ball Mill Gearbox Assembly 55KW SANDVIK
000000000010001009,EN,Flotation Blower Motor TYPE A SIEMENS
000000000080000244,EN,Gearbox Bearing 8/6 SEW
000000000080000245,EN,Conveyor Idler Roller Set 110KW SEW
000000000010001010,EN,MCC Feeder Circuit Breaker DN150 SANDVIK
000000000010001011,EN,Skirt Rubber Liner Section DN150 SEW
000000000010001012,EN,Slurry Density Transmitter DN100 WEIR
000000000010001013,EN,Cyclone Apex Liner 200MM SIEMENS
000000000080000246,EN,Pump Impeller DN100 ABB
000000000010001014,EN,Ball Mill Gearbox Assembly 8/6 SIEMENS
000000000080000247,EN,Thickener Rake Seal Kit 250MM KSB
000000000080000248,EN,Conveyor Drive Gearbox 200MM SANDVIK
000000000080000249,EN,Ball Mill Gearbox Assembly TYPE A
000000000010001015,EN,Apron Feeder Gear Reducer TYPE B SIEMENS
000000000010001016,EN,Valve Assembly 250MM WEIR
000000000030000257,EN,Thickener Rake Seal Kit DN150 WEIR
000000000080000250,EN,Valve Assembly 10/8 ABB
000000000030000258,EN,Conveyor Drive Gearbox DN150 SANDVIK
000000000010001017,EN,Belt Scraper Blade Cartridge DN150 FLSM
000000000080000251,EN,Ball Mill Gearbox Assembly DN150 WEIR
000000000010001018,EN,Gland Packing Seal Ring HD MULTOTEC
000000000030000259,EN,Cyclone Apex Liner 55KW WEIR
000000000080000252,EN,Thickener Rake Seal Kit 250MM MULTOTEC
000000000010001019,EN,MCC Feeder Circuit Breaker HD SKF
000000000010001020,EN,Thickener Rake Drive Gearbox 55KW SEW
000000000010001021,EN,Screen Exciter Bearing 10/8 KSB
000000000010001022,EN,Slurry Density Transmitter 8/6 SEW
000000000010001023,EN,Valve Assembly DN150 ABB
000000000080000253,EN,Slurry Density Transmitter 150MM FLSM
000000000010001024,EN,Gland Packing Seal Ring 250MM SEW
000000000030000260,EN,Centrifugal Pump Casing TYPE B KSB
000000000010001025,EN,Mill Lube Pump Motor TYPE B SANDVIK
000000000010001026,EN,Ball Mill Shell Liner Plate DN150 SEW
000000000010001027,EN,Mill Lube Pump Motor 8/6 SIEMENS
000000000010001028,EN,Agitator Shaft Seal 110KW KSB
000000000030000261,EN,Thickener Rake Drive Gearbox 110KW ABB
000000000010001029,EN,Ball Mill Shell Liner Plate 250MM FLSM
000000000010001030,EN,Mill Lube Pump Motor TYPE A METSO
000000000030000262,EN,Conveyor Idler Roller Set 55KW SANDVIK
000000000080000254,EN,Soft Starter Power Module 8/6 ABB
000000000010001031,EN,Valve Assembly 55KW SANDVIK
000000000080000255,EN,MCC Feeder Circuit Breaker 6/4 KSB
000000000080000256,EN,Mill Liner 250KW MULTOTEC
000000000010001032,EN,Apron Feeder Gear Reducer 250MM MULTOTEC
000000000010001033,EN,Conveyor Drive Gearbox 250KW WEIR
000000000080000257,EN,Ball Mill Gearbox Assembly 8/6 MULTOTEC
000000000010001034,EN,Level Radar Transmitter 110KW METSO
000000000010001035,EN,Vertical Sump Pump Column 55KW SANDVIK
000000000010001036,EN,Valve Assembly 200MM SKF
000000000030000263,EN,Pump Impeller 10/8 SANDVIK
000000000010001037,EN,Mill Lube Pump Motor 110KW MULTOTEC
000000000010001038,EN,Conveyor Pulley Bearing 250MM SEW
000000000010001039,EN,Pressure Transmitter Assembly 150MM
000000000010001040,EN,Gearbox Bearing 8/6 ABB
000000000010001041,EN,Pump Impeller DN150 SIEMENS
000000000010001042,EN,Soft Starter Power Module DN100 SKF
000000000080000258,EN,Hydraulic Power Pack 8/6 SEW
000000000010001043,EN,Variable Speed Drive Unit DN100 SEW
000000000010001044,EN,Ball Mill Shell Liner Plate 250KW FLSM
000000000010001045,EN,Hydraulic Pump Assembly 200MM MULTOTEC
000000000010001046,EN,Belt Scraper Blade Cartridge 55KW
000000000010001047,EN,Agitator Shaft Seal 250KW SKF
000000000010001048,EN,Slurry Density Transmitter 55KW WEIR
000000000010001049,EN,PLC Digital Output Card HD METSO
000000000010001050,EN,Gland Packing Seal Ring 8/6 KSB
000000000010001051,EN,Slurry Pump Wet End Assembly TYPE B ABB
000000000030000264,EN,Level Radar Transmitter TYPE B MULTOTEC
000000000030000265,EN,Conveyor Drive Motor 6/4 SIEMENS
000000000080000259,EN,Skirt Rubber Liner Section 6/4 SIEMENS
000000000010001052,EN,MCC Feeder Circuit Breaker 8/6 SEW
000000000080000260,EN,Ball Mill Trunnion Bearing DN100 SKF
000000000010001053,EN,Flotation Blower Motor TYPE A SANDVIK
000000000080000261,EN,MCC Feeder Circuit Breaker 8/6 FLSM
000000000030000266,EN,Mill Lube Pump Motor 250KW MULTOTEC
000000000010001054,EN,Gland Packing Seal Ring 6/4 SANDVIK
000000000010001055,EN,Hydraulic Pump Assembly 250KW ABB
000000000010001056,EN,Flotation Cell Impeller 110KW FLSM
000000000010001057,EN,Slurry Density Transmitter 10/8
000000000030000267,EN,Valve Assembly DN100 SEW
000000000010001058,EN,Flotation Cell Impeller 150MM SEW
000000000010001059,EN,Variable Speed Drive Unit 200MM KSB
000000000080000262,EN,Belt Scraper Blade Cartridge 200MM METSO
000000000010001060,EN,Vertical Sump Pump Column 10/8 SIEMENS
000000000010001061,EN,Mill Liner 200MM SEW
000000000090000053,EN,Pump Impeller 6/4 SANDVIK
000000000010001062,EN,Thickener Rake Seal Kit 110KW SKF
000000000010001063,EN,Gland Packing Seal Ring 10/8 SANDVIK
000000000030000268,EN,Belt Scraper Blade Cartridge HD WEIR
000000000010001064,EN,Hydraulic Power Pack DN100 METSO
000000000010001065,EN,Ball Mill Shell Liner Plate 6/4 MULTOTEC
000000000010001066,EN,Level Radar Transmitter TYPE B FLSM
000000000010001067,EN,Crusher Main Shaft Bearing DN150 WEIR
000000000010001068,EN,Flotation Cell Impeller HD KSB
000000000010001069,EN,Pump Impeller TYPE A ABB
000000000090000054,EN,Conveyor Drive Motor 6/4 METSO
000000000010001070,EN,Thickener Rake Seal Kit 200MM SEW
000000000030000269,EN,Flotation Cell Impeller DN100 ABB
000000000010001071,EN,Hydraulic Pump Assembly 6/4 SKF
000000000010001072,EN,MCC Feeder Circuit Breaker 150MM SEW
000000000010001073,EN,Flow Meter Sensor Head 10/8 FLSM
000000000030000270,EN,Soft Starter Power Module TYPE B SEW
000000000010001074,EN,Conveyor Drive Motor 110KW SANDVIK
000000000010001075,EN,Crusher Main Shaft Bearing 6/4 SANDVIK
000000000010001076,EN,Crusher Hydroset Cylinder 8/6 METSO
000000000080000263,EN,Agitator Shaft Seal TYPE A KSB
000000000010001077,EN,Hydraulic Pump Assembly 200MM WEIR
000000000010001078,EN,Flotation Blower Motor TYPE A SIEMENS
000000000080000264,EN,Crusher Main Shaft Bearing 110KW METSO
000000000010001079,EN,PLC Digital Output Card 200MM FLSM
000000000030000271,EN,Mill Liner 110KW ABB
000000000010001080,EN,Conveyor Drive Gearbox 110KW ABB
000000000010001081,EN,Apron Feeder Gear Reducer 110KW SANDVIK
000000000010001082,EN,Level Radar Transmitter 150MM ABB
000000000010001083,EN,Mill Liner 55KW SIEMENS
000000000030000272,EN,Cyclone Apex Liner 10/8 WEIR
000000000090000055,EN,Mill Lube Pump Motor 110KW SEW
000000000010001084,EN,Thickener Rake Seal Kit 110KW WEIR
000000000010001085,EN,Valve Assembly 250KW SEW
000000000010001086,EN,Flotation Blower Motor TYPE B FLSM
000000000010001087,EN,Mill Lube Pump Motor 10/8 METSO
000000000090000056,EN,Thickener Rake Drive Gearbox HD
000000000010001088,EN,Soft Starter Power Module HD
000000000010001089,EN,Conveyor Idler Roller Set 10/8 WEIR
000000000010001090,EN,Slurry Density Transmitter 10/8 FLSM
000000000010001091,EN,Agitator Shaft Seal 250KW SANDVIK
000000000010001092,EN,Centrifugal Pump Casing 250MM WEIR
000000000010001093,EN,Cyclone Apex Liner 250MM SKF
000000000030000273,EN,Variable Speed Drive Unit DN100 SANDVIK
000000000010001094,EN,Thickener Rake Seal Kit 10/8 METSO
000000000010001095,EN,Conveyor Pulley Bearing 10/8 SANDVIK
000000000010001096,EN,Pump Impeller 150MM SKF
000000000010001097,EN,Variable Speed Drive Unit 250KW MULTOTEC
000000000030000274,EN,Slurry Density Transmitter 250KW SEW
000000000010001098,EN,Hydraulic Power Pack 10/8 SKF
000000000080000265,EN,Gearbox Bearing 250KW SANDVIK
000000000010001099,EN,Ball Mill Shell Liner Plate TYPE A KSB
000000000010001100,EN,Crusher Hydroset Cylinder 110KW METSO
000000000010001101,EN,Mill Lube Pump Motor TYPE B MULTOTEC
000000000080000266,EN,Valve Assembly 250KW SANDVIK
000000000010001102,EN,Cyclone Apex Liner HD FLSM
000000000030000275,EN,Cyclone Apex Liner TYPE A SEW
000000000090000057,EN,Flotation Blower Motor DN150 ABB
000000000010001103,EN,Flotation Blower Motor DN150 SEW
000000000010001104,EN,Cyclone Apex Liner 10/8 ABB
000000000030000276,EN,Flow Meter Sensor Head TYPE A WEIR
000000000010001105,EN,Flotation Blower Motor DN100 WEIR
000000000010001106,EN,Level Radar Transmitter 150MM MULTOTEC
000000000010001107,EN,Thickener Rake Drive Gearbox 150MM FLSM
000000000090000058,EN,Agitator Shaft Seal 6/4 WEIR
000000000010001108,EN,Conveyor Drive Motor 8/6 SEW
000000000090000059,EN,Level Radar Transmitter HD METSO
000000000080000267,EN,Conveyor Drive Motor 110KW FLSM
000000000030000277,EN,Ventilation Fan Motor 200MM FLSM
000000000010001109,EN,Thickener Rake Seal Kit 6/4 MULTOTEC
000000000030000278,EN,Flotation Cell Impeller TYPE B MULTOTEC
000000000010001110,EN,Crusher Main Shaft Bearing HD MULTOTEC
000000000080000268,EN,PLC Digital Output Card 150MM ABB
000000000030000279,EN,Slurry Pump Wet End Assembly 150MM METSO
000000000010001111,EN,Slurry Density Transmitter 250KW SANDVIK
000000000080000269,EN,Level Radar Transmitter 110KW FLSM
000000000010001112,EN,Level Radar Transmitter 250KW ABB
000000000030000280,EN,Conveyor Drive Gearbox 200MM KSB
000000000010001113,EN,Pressure Transmitter Assembly 55KW
000000000030000281,EN,Slurry Pump Mechanical Seal TYPE A SEW
000000000080000270,EN,Hydraulic Pump Assembly 55KW ABB
000000000010001114,EN,Conveyor Take-Up Pulley 150MM SIEMENS
000000000080000271,EN,Skirt Rubber Liner Section 6/4 MULTOTEC
000000000010001115,EN,Crusher Hydroset Cylinder 250MM FLSM
000000000010001116,EN,Centrifugal Pump Casing TYPE B SIEMENS
000000000030000282,EN,Valve Assembly 200MM MULTOTEC
000000000090000060,EN,Vertical Sump Pump Column 250KW MULTOTEC
000000000010001117,EN,Centrifugal Pump Casing TYPE A WEIR
000000000010001118,EN,Gland Packing Seal Ring 250KW KSB
000000000030000283,EN,Gland Packing Seal Ring 55KW FLSM
000000000010001119,EN,Conveyor Drive Gearbox TYPE B SKF
000000000080000272,EN,Conveyor Take-Up Pulley 55KW ABB
000000000010001120,EN,Conveyor Drive Motor 200MM METSO
000000000010001121,EN,Apron Feeder Gear Reducer TYPE B SKF
000000000080000273,EN,Thickener Rake Seal Kit DN100 METSO
000000000010001122,EN,Agitator Shaft Seal HD SKF
000000000010001123,EN,Gland Packing Seal Ring TYPE B SANDVIK
000000000030000284,EN,Pump Impeller HD SANDVIK
000000000010001124,EN,Skirt Rubber Liner Section 150MM SEW
000000000010001125,EN,Soft Starter Power Module 55KW MULTOTEC
000000000010001126,EN,Variable Speed Drive Unit TYPE B METSO
000000000080000274,EN,Skirt Rubber Liner Section DN150 SEW
000000000090000061,EN,Spherical Roller Bearing 10/8 MULTOTEC
000000000010001127,EN,Crusher Hydroset Cylinder 110KW ABB
000000000010001128,EN,Flotation Cell Impeller TYPE B METSO
000000000010001129,EN,Belt Scraper Blade Cartridge 250KW SEW
000000000010001130,EN,Agitator Shaft Seal TYPE A KSB
000000000030000285,EN,Flow Meter Sensor Head TYPE B METSO
000000000080000275,EN,Gland Packing Seal Ring TYPE B METSO
000000000010001131,EN,Flotation Blower Motor 55KW SANDVIK
000000000010001132,EN,Ball Mill Gearbox Assembly DN100 ABB
000000000030000286,EN,Hydraulic Pump Assembly DN100 WEIR
000000000010001133,EN,Conveyor Drive Gearbox TYPE A MULTOTEC
000000000010001134,EN,Conveyor Drive Motor 8/6 SANDVIK
000000000010001135,EN,Conveyor Pulley Bearing TYPE B KSB
000000000080000276,EN,Cyclone Apex Liner DN150 FLSM
000000000010001136,EN,Ball Mill Shell Liner Plate 10/8 METSO
000000000010001137,EN,Thickener Rake Seal Kit 110KW SANDVIK
000000000010001138,EN,Flow Meter Sensor Head TYPE B METSO
000000000010001139,EN,Hydraulic Power Pack 10/8 METSO
000000000010001140,EN,Conveyor Take-Up Pulley 55KW FLSM
000000000010001141,EN,Skirt Rubber Liner Section 200MM SIEMENS
000000000010001142,EN,Crusher Main Shaft Bearing 200MM ABB
000000000010001143,EN,Crusher Hydroset Cylinder 10/8 FLSM
000000000080000277,EN,Mill Lube Pump Motor 55KW SKF
000000000010001144,EN,Crusher Hydroset Cylinder 55KW SANDVIK
000000000010001145,EN,Flow Meter Sensor Head DN100 METSO
000000000030000287,EN,Ball Mill Gearbox Assembly 110KW SIEMENS
000000000010001146,EN,Centrifugal Pump Casing 150MM FLSM
000000000090000062,EN,Ball Mill Gearbox Assembly 8/6 SKF
000000000010001147,EN,Cyclone Apex Liner HD SEW
000000000010001148,EN,Pump Impeller TYPE A METSO
000000000080000278,EN,Hydraulic Power Pack 200MM SIEMENS
000000000080000279,EN,Belt Scraper Blade Cartridge 8/6 SKF
000000000010001149,EN,Thickener Rake Seal Kit 10/8 KSB
000000000010001150,EN,Thickener Rake Seal Kit HD ABB
000000000010001151,EN,Spherical Roller Bearing 150MM SIEMENS
000000000010001152,EN,Ball Mill Shell Liner Plate 250MM SEW
000000000010001153,EN,Thickener Rake Seal Kit 150MM METSO
000000000010001154,EN,Flotation Cell Impeller 250MM ABB
000000000010001155,EN,Level Radar Transmitter 55KW FLSM
000000000010001156,EN,Slurry Pump Wet End Assembly 55KW METSO
000000000010001157,EN,Conveyor Idler Roller Set TYPE A KSB
000000000080000280,EN,Thickener Rake Drive Gearbox DN100
000000000010001158,EN,Level Radar Transmitter TYPE A SANDVIK
